Market,Make,VehicleAge,median_make_price_index,listing_count
Pakistan,Audi,1,2.411067193675889,3
Pakistan,Audi,2,2.3715415019762847,24
Pakistan,Audi,3,2.015810276679842,17
Pakistan,Audi,4,1.699604743083004,13
Pakistan,Audi,5,1.2648221343873518,17
Pakistan,Audi,6,0.9644268774703557,23
Pakistan,Audi,7,0.8260869565217391,32
Pakistan,Audi,8,0.9090909090909091,25
Pakistan,Audi,9,0.6422924901185771,24
Pakistan,Audi,10,0.5533596837944664,10
Pakistan,Audi,11,0.616600790513834,5
Pakistan,Audi,12,0.5770750988142292,4
Pakistan,Audi,13,0.4743083003952569,3
Pakistan,Audi,14,0.37549407114624506,1
Pakistan,Audi,15,0.6719367588932806,2
Pakistan,Audi,16,0.47430830039525695,4
Pakistan,Audi,17,0.4031620553359684,2
Pakistan,Audi,18,0.3952569169960474,1
US,Audi,1,1.592288032003556,13
US,Audi,2,1.444604956106234,281
US,Audi,3,1.3334074156387747,239
US,Audi,4,1.1099381412749565,518
US,Audi,5,1.0655072785865096,536
US,Audi,6,0.9127866059191763,232
US,Audi,7,0.8014409008408342,200
US,Audi,8,0.629514390487832,132
US,Audi,9,0.573952661406823,97
US,Audi,10,0.4814238619105826,78
US,Audi,11,0.4071748712819943,68
US,Audi,12,0.3702263214431233,69
US,Audi,13,0.29621809830721935,31
US,Audi,14,0.2576212171722784,29
US,Audi,15,0.27762343964144165,21
US,Audi,16,0.22202466940771198,8
US,Audi,17,0.14779419935548394,3
US,Audi,18,0.18502055783975999,3
US,Audi,19,0.27762343964144165,1
US,Audi,20,0.10173352594732749,2
US,Audi,21,0.07404526428862467,1
US,Audi,22,0.18435381709078785,1
Pakistan,Bmw,1,10.653846153846153,18
Pakistan,Bmw,2,6.346153846153846,10
Pakistan,Bmw,3,6.384615384615385,5
Pakistan,Bmw,5,1.669230769230769,6
Pakistan,Bmw,6,1.2615384615384615,5
Pakistan,Bmw,7,1.4384615384615385,12
Pakistan,Bmw,8,2.9923076923076923,4
Pakistan,Bmw,9,2.730769230769231,2
Pakistan,Bmw,10,3.1153846153846154,2
Pakistan,Bmw,11,1.36,3
Pakistan,Bmw,12,2.646153846153846,2
Pakistan,Bmw,13,7.615384615384615,3
Pakistan,Bmw,15,0.8923076923076924,1
Pakistan,Bmw,16,0.8461538461538463,2
Pakistan,Bmw,17,0.7384615384615385,5
Pakistan,Bmw,18,0.7384615384615385,13
Pakistan,Bmw,19,0.6653846153846154,14
Pakistan,Bmw,20,0.6153846153846154,14
Pakistan,Bmw,21,0.5538461538461539,13
Pakistan,Bmw,22,0.5230769230769231,2
Pakistan,Bmw,23,0.49230769230769234,1
Pakistan,Bmw,24,0.46153846153846156,3
